SURVEY: DES   
SNID:   79548   
IAUC:    UNKNOWN 
SNTYPE:  1 
FILTERS: griz 
RA:      34.500000  deg 
DECL:    -5.500000  deg 
FAKE:    3   (=> BLIND-TEST simulation) 
MWEBV:   0.0227    MW E(B-V) 
REDSHIFT_SPEC:     0.5321 +-  0.0050  
 


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 67 
NVAR: 5 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   
OBS:  56243.203  g NULL   3.504e-01   1.690e+00  
OBS:  56243.211  r NULL   2.036e+00   1.225e+00  
OBS:  56243.223  i NULL   1.338e+00   1.849e+00  
OBS:  56243.250  z NULL   1.195e-01   2.416e+00  
OBS:  56244.180  g NULL  -1.222e+00   1.783e+00  
OBS:  56244.188  r NULL   3.973e+00   1.377e+00  
OBS:  56244.203  i NULL   2.593e+00   1.988e+00  
OBS:  56244.223  z NULL  -2.319e+00   2.231e+00  
OBS:  56245.191  g NULL  -6.316e+00   4.788e+00  
OBS:  56245.199  r NULL   4.841e+00   1.180e+00  
OBS:  56245.219  i NULL   2.421e+00   2.078e+00  
OBS:  56245.246  z NULL  -3.927e+00   5.918e+00  
OBS:  56246.234  g NULL   1.306e+00   2.001e+00  
OBS:  56246.246  r NULL   2.769e+00   3.170e+00  
OBS:  56246.262  i NULL   3.613e+00   5.642e+00  
OBS:  56246.285  z NULL  -5.316e+00   1.277e+01  
OBS:  56248.207  g NULL  -1.937e+00   1.755e+00  
OBS:  56248.215  r NULL   5.992e+00   1.333e+00  
OBS:  56248.230  i NULL   8.672e+00   2.215e+00  
OBS:  56248.250  z NULL   9.057e+00   3.035e+00  
OBS:  56258.242  g NULL   1.547e+01   8.092e+00  
OBS:  56258.258  r NULL   4.265e+01   4.498e+00  
OBS:  56259.160  i NULL   5.915e+01   4.679e+00  
OBS:  56259.180  z NULL   5.304e+01   3.219e+00  
OBS:  56261.215  g NULL   2.409e+01   4.000e+00  
OBS:  56261.230  r NULL   5.961e+01   2.181e+00  
OBS:  56267.156  i NULL   6.709e+01   2.560e+00  
OBS:  56267.180  z NULL   6.086e+01   3.259e+00  
OBS:  56274.160  g NULL   1.534e+01   2.076e+00  
OBS:  56274.176  r NULL   6.204e+01   1.877e+00  
OBS:  56275.223  i NULL   7.170e+01   3.305e+00  
OBS:  56276.191  z NULL   6.299e+01   3.603e+00  
OBS:  56282.160  g NULL   6.313e+00   3.411e+00  
OBS:  56282.184  r NULL   4.272e+01   2.334e+00  
OBS:  56287.160  i NULL   3.237e+01   5.028e+00  
OBS:  56287.191  z NULL   3.387e+01   3.948e+00  
OBS:  56289.035  g NULL   8.837e+00   1.189e+01  
OBS:  56289.043  r NULL   2.175e+01   4.207e+00  
OBS:  56289.152  i NULL   4.468e+01   4.412e+00  
OBS:  56289.176  z NULL   4.445e+01   4.542e+00  
OBS:  56297.039  g NULL   3.090e+00   1.584e+00  
OBS:  56297.047  r NULL   9.631e+00   1.240e+00  
OBS:  56297.062  i NULL   2.596e+01   1.934e+00  
OBS:  56297.090  z NULL   3.371e+01   2.215e+00  
OBS:  56305.094  g NULL  -1.038e+00   1.646e+00  
OBS:  56305.102  r NULL   7.285e+00   1.312e+00  
OBS:  56305.113  i NULL   1.352e+01   2.211e+00  
OBS:  56306.043  z NULL   3.336e+01   2.784e+00  
OBS:  56313.047  g NULL   9.778e+00   5.963e+00  
OBS:  56313.055  r NULL   8.958e+00   2.531e+00  
OBS:  56313.090  i NULL   8.728e+00   3.085e+00  
OBS:  56317.066  z NULL   1.027e+01   4.254e+00  
OBS:  56321.035  g NULL  -2.390e+00   2.915e+00  
OBS:  56321.043  r NULL   5.362e+00   1.371e+00  
OBS:  56321.066  i NULL   6.942e+00   3.221e+00  
OBS:  56326.039  z NULL   1.252e+01   2.618e+00  
OBS:  56333.043  g NULL   1.056e+00   1.818e+00  
OBS:  56333.051  r NULL   4.780e+00   1.388e+00  
OBS:  56334.043  i NULL   9.585e+00   2.185e+00  
OBS:  56335.043  z NULL   1.179e+01   3.388e+00  
OBS:  56344.992  g NULL   4.536e+00   4.328e+00  
OBS:  56345.000  r NULL   9.491e-01   1.862e+00  
OBS:  56345.016  i NULL   6.991e+00   3.454e+00  
OBS:  56345.992  z NULL   8.352e+00   3.702e+00  
OBS:  56349.996  g NULL   7.153e+00   3.967e+00  
OBS:  56350.004  r NULL   7.814e-01   2.058e+00  
OBS:  56350.996  i NULL   7.020e+00   3.024e+00  
