SURVEY: DES   
SNID:   45938   
IAUC:    UNKNOWN 
SNTYPE:  -9 
FILTERS: griz 
RA:      0.500000  deg 
DECL:    -43.000000  deg 
FAKE:    3   (=> BLIND-TEST simulation) 
MWEBV:   0.0111    MW E(B-V) 
REDSHIFT_SPEC:    -9.0000 +-  9.0000  
 


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 25 
NVAR: 5 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   
OBS:  56258.191  z NULL   2.435e+00   5.862e+00  
OBS:  56261.066  g NULL  -1.120e+01   6.916e+00  
OBS:  56261.082  r NULL   2.941e+00   4.055e+00  
OBS:  56261.090  i NULL   3.005e+00   8.211e+00  
OBS:  56266.156  z NULL   1.203e+00   5.282e+00  
OBS:  56276.152  g NULL  -9.345e+00   4.046e+00  
OBS:  56276.172  r NULL   1.143e+01   2.903e+00  
OBS:  56277.164  i NULL   2.734e+01   3.595e+00  
OBS:  56278.164  z NULL   1.981e+01   4.305e+00  
OBS:  56288.035  g NULL  -7.033e-01   1.451e+01  
OBS:  56288.043  r NULL   2.028e+01   5.424e+00  
OBS:  56288.051  i NULL   5.269e+01   6.071e+00  
OBS:  56288.066  z NULL   3.473e+01   6.769e+00  
OBS:  56292.109  g NULL   2.590e+00   7.764e+00  
OBS:  56292.125  r NULL   1.777e+01   3.901e+00  
OBS:  56296.039  i NULL   4.123e+01   3.585e+00  
OBS:  56296.051  z NULL   3.771e+01   4.522e+00  
OBS:  56305.043  g NULL   7.481e-01   2.875e+00  
OBS:  56305.051  r NULL   7.104e+00   2.187e+00  
OBS:  56305.055  i NULL   3.037e+01   3.118e+00  
OBS:  56305.070  z NULL   2.759e+01   3.705e+00  
OBS:  56317.035  g NULL  -1.601e+01   1.480e+01  
OBS:  56317.043  r NULL   4.141e+00   6.186e+00  
OBS:  56317.051  i NULL   7.446e+00   6.916e+00  
OBS:  56318.035  z NULL   1.869e+01   1.346e+01  
