SURVEY: DES   
SNID:   12853   
IAUC:    UNKNOWN 
SNTYPE:  -9 
FILTERS: griz 
RA:      48.000000  deg 
DECL:    0.000000  deg 
FAKE:    3   (=> BLIND-TEST simulation) 
MWEBV:   0.0713    MW E(B-V) 
REDSHIFT_SPEC:    -9.0000 +-  9.0000  
 


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 88 
NVAR: 5 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   
OBS:  56188.191  z NULL   1.887e+01   2.733e+01  
OBS:  56188.340  g NULL   8.785e+00   2.559e+01  
OBS:  56188.355  r NULL   9.777e+00   4.165e+00  
OBS:  56189.195  i NULL   8.148e+00   3.096e+01  
OBS:  56194.215  g NULL   4.093e+01   4.900e+00  
OBS:  56194.223  r NULL   5.599e+01   5.554e+00  
OBS:  56194.227  z NULL   7.482e+01   6.701e+00  
OBS:  56200.234  i NULL   1.814e+02   1.248e+01  
OBS:  56208.160  g NULL   1.541e+02   4.456e+00  
OBS:  56208.176  r NULL   2.040e+02   4.619e+00  
OBS:  56208.191  z NULL   1.618e+02   5.810e+00  
OBS:  56210.156  i NULL   2.452e+02   8.439e+00  
OBS:  56216.164  g NULL   9.414e+01   3.460e+00  
OBS:  56216.176  r NULL   1.850e+02   4.097e+00  
OBS:  56216.191  z NULL   1.232e+02   4.673e+00  
OBS:  56219.211  i NULL   1.816e+02   4.592e+00  
OBS:  56221.148  g NULL   4.591e+01   1.604e+01  
OBS:  56221.160  r NULL   1.573e+02   6.828e+00  
OBS:  56221.176  z NULL   9.579e+01   1.551e+01  
OBS:  56222.105  i NULL   1.485e+02   9.645e+00  
OBS:  56222.312  g NULL   5.319e+01   4.370e+00  
OBS:  56222.324  r NULL   1.373e+02   1.550e+01  
OBS:  56222.340  z NULL   4.971e+01   4.089e+01  
OBS:  56228.297  g NULL   3.953e+01   1.507e+01  
OBS:  56228.305  r NULL   1.003e+02   5.840e+00  
OBS:  56228.312  i NULL   1.244e+02   9.720e+00  
OBS:  56228.320  z NULL   8.850e+01   6.043e+00  
OBS:  56229.320  g NULL   2.562e+01   1.408e+01  
OBS:  56229.332  r NULL   8.631e+01   7.455e+00  
OBS:  56229.348  i NULL   1.123e+02   1.313e+01  
OBS:  56230.070  z NULL   8.892e+01   7.334e+00  
OBS:  56230.316  g NULL   3.251e+01   1.371e+01  
OBS:  56230.328  r NULL   7.234e+01   6.834e+00  
OBS:  56230.344  i NULL   1.001e+02   1.255e+01  
OBS:  56231.301  g NULL   1.889e+01   1.168e+01  
OBS:  56231.316  r NULL   6.913e+01   6.184e+00  
OBS:  56231.328  i NULL   1.119e+02   1.070e+01  
OBS:  56231.344  z NULL   8.025e+01   5.993e+00  
OBS:  56235.297  g NULL   1.168e+01   9.654e+00  
OBS:  56235.312  r NULL   5.421e+01   4.797e+00  
OBS:  56235.324  i NULL   1.141e+02   7.006e+00  
OBS:  56235.340  z NULL   8.934e+01   6.963e+00  
OBS:  56236.312  g NULL   3.600e+00   7.827e+00  
OBS:  56236.324  r NULL   5.115e+01   3.879e+00  
OBS:  56236.340  i NULL   1.176e+02   6.498e+00  
OBS:  56237.074  z NULL   9.153e+01   7.227e+00  
OBS:  56237.340  g NULL   1.737e+01   1.184e+01  
OBS:  56238.051  r NULL   4.891e+01   4.432e+00  
OBS:  56238.059  i NULL   9.711e+01   5.796e+00  
OBS:  56238.340  g NULL   8.466e+00   1.064e+01  
OBS:  56243.047  z NULL   7.704e+01   8.458e+00  
OBS:  56243.320  g NULL   7.551e-01   4.217e+00  
OBS:  56243.336  r NULL   3.106e+01   3.372e+00  
OBS:  56244.039  i NULL   7.638e+01   7.198e+00  
OBS:  56244.309  g NULL   1.297e+01   4.147e+00  
OBS:  56244.320  r NULL   2.750e+01   3.287e+00  
OBS:  56245.047  z NULL   7.804e+01   5.228e+00  
OBS:  56245.320  g NULL   5.338e+00   4.252e+00  
OBS:  56246.055  r NULL   2.823e+01   2.467e+00  
OBS:  56246.070  i NULL   8.302e+01   4.216e+00  
OBS:  56247.223  g NULL   5.802e+00   3.003e+00  
OBS:  56247.230  z NULL   5.754e+01   4.527e+00  
OBS:  56248.305  r NULL   2.381e+01   2.440e+00  
