SURVEY: DES   
SNID:   43856   
IAUC:    UNKNOWN 
SNTYPE:  1 
FILTERS: griz 
RA:      0.500000  deg 
DECL:    -43.000000  deg 
FAKE:    3   (=> BLIND-TEST simulation) 
MWEBV:   0.0111    MW E(B-V) 
REDSHIFT_SPEC:     0.4734 +-  0.0050  
 


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 10 
NVAR: 5 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   
OBS:  56296.039  i NULL   6.739e+00   3.482e+00  
OBS:  56296.051  z NULL   8.044e+00   4.465e+00  
OBS:  56305.043  g NULL   4.558e+01   3.149e+00  
OBS:  56305.051  r NULL   9.235e+01   2.855e+00  
OBS:  56305.055  i NULL   6.988e+01   3.356e+00  
OBS:  56305.070  z NULL   5.887e+01   3.836e+00  
OBS:  56317.035  g NULL   1.058e+02   1.500e+01  
OBS:  56317.043  r NULL   2.009e+02   7.292e+00  
OBS:  56317.051  i NULL   1.274e+02   7.334e+00  
OBS:  56318.035  z NULL   1.308e+02   1.368e+01  
