SURVEY: DES   
SNID:   55664   
IAUC:    UNKNOWN 
SNTYPE:  -9 
FILTERS: griz 
RA:      48.000000  deg 
DECL:    0.000000  deg 
FAKE:    3   (=> BLIND-TEST simulation) 
MWEBV:   0.0713    MW E(B-V) 
REDSHIFT_SPEC:    -9.0000 +-  9.0000  
 


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 44 
NVAR: 5 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   
OBS:  56275.152  g NULL   1.187e+00   3.310e+00  
OBS:  56275.172  r NULL  -1.057e+00   2.240e+00  
OBS:  56275.191  i NULL  -1.653e+00   4.492e+00  
OBS:  56275.203  z NULL  -1.500e+00   5.325e+00  
OBS:  56283.203  g NULL   5.496e+00   6.286e+00  
OBS:  56283.211  r NULL   5.869e+00   3.330e+00  
OBS:  56283.215  i NULL  -2.816e+00   5.819e+00  
OBS:  56283.223  z NULL   6.998e+00   5.046e+00  
OBS:  56288.199  g NULL  -3.911e+00   1.179e+01  
OBS:  56288.215  r NULL   1.367e+01   6.189e+00  
OBS:  56289.109  i NULL   1.036e+01   7.087e+00  
OBS:  56289.125  z NULL   1.129e+01   5.429e+00  
OBS:  56292.098  g NULL   9.855e+00   1.165e+01  
OBS:  56292.102  r NULL   1.134e+01   4.844e+00  
OBS:  56292.191  i NULL   1.533e+01   5.614e+00  
OBS:  56292.199  z NULL   1.483e+01   5.169e+00  
OBS:  56304.051  g NULL   1.421e+00   2.484e+00  
OBS:  56304.055  r NULL   1.475e+01   1.701e+00  
OBS:  56304.070  i NULL   2.652e+01   2.574e+00  
OBS:  56304.086  z NULL   2.796e+01   3.975e+00  
OBS:  56312.055  g NULL   1.678e+00   7.568e+00  
OBS:  56312.066  r NULL   2.934e+00   2.971e+00  
OBS:  56312.090  i NULL   1.423e+01   5.036e+00  
OBS:  56312.113  z NULL   1.693e+01   5.442e+00  
OBS:  56320.043  g NULL   1.761e+00   6.169e+00  
OBS:  56320.051  r NULL   9.692e+00   2.502e+00  
OBS:  56320.059  i NULL   1.538e+01   3.673e+00  
OBS:  56320.070  z NULL   2.268e+01   4.419e+00  
OBS:  56328.047  g NULL   7.255e-01   3.351e+00  
OBS:  56328.055  r NULL   5.091e+00   2.409e+00  
OBS:  56328.070  i NULL   1.112e+01   4.056e+00  
OBS:  56328.086  z NULL   2.564e+01   6.801e+00  
OBS:  56336.062  g NULL   9.671e-01   3.700e+00  
OBS:  56336.082  r NULL   2.672e+00   3.009e+00  
OBS:  56337.062  i NULL   1.290e+01   2.941e+00  
OBS:  56337.078  z NULL   1.261e+01   3.757e+00  
OBS:  56345.039  g NULL  -5.801e+00   7.140e+00  
OBS:  56345.055  r NULL   2.688e+00   3.771e+00  
OBS:  56346.055  i NULL   2.272e+00   5.988e+00  
OBS:  56348.027  z NULL   1.531e+01   5.029e+00  
OBS:  56350.023  g NULL   6.966e+00   6.831e+00  
OBS:  56350.027  r NULL  -4.452e+00   3.937e+00  
OBS:  56350.035  i NULL   2.516e+00   6.683e+00  
OBS:  56351.023  z NULL   4.760e+00   6.099e+00  
