SURVEY: DES   
SNID:   40537   
IAUC:    UNKNOWN 
SNTYPE:  -9 
FILTERS: griz 
RA:      36.750000  deg 
DECL:    -4.500000  deg 
FAKE:    3   (=> BLIND-TEST simulation) 
MWEBV:   0.0283    MW E(B-V) 
REDSHIFT_SPEC:    -9.0000 +-  9.0000  
 


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 88 
NVAR: 5 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   
OBS:  56228.234  g NULL  -9.816e+00   1.234e+01  
OBS:  56228.242  r NULL   8.699e+00   5.572e+00  
OBS:  56228.258  i NULL   3.180e+01   1.204e+01  
OBS:  56228.270  z NULL   1.862e+01   6.659e+00  
OBS:  56229.258  g NULL   5.172e+00   1.721e+01  
OBS:  56229.270  r NULL  -8.197e-01   8.065e+00  
OBS:  56229.285  i NULL   1.710e+01   1.507e+01  
OBS:  56229.297  z NULL   7.802e+00   8.902e+00  
OBS:  56230.273  g NULL   2.242e+00   1.383e+01  
OBS:  56230.277  r NULL  -8.070e-01   6.406e+00  
OBS:  56230.285  i NULL   1.698e+01   1.120e+01  
OBS:  56230.293  z NULL  -2.897e+00   6.158e+00  
OBS:  56231.242  g NULL   3.190e+00   9.777e+00  
OBS:  56231.258  r NULL  -4.497e+00   4.947e+00  
OBS:  56231.273  i NULL   8.044e-01   9.658e+00  
OBS:  56231.277  z NULL   2.758e+00   5.306e+00  
OBS:  56235.242  g NULL  -4.774e+00   6.870e+00  
OBS:  56235.258  r NULL   1.269e+01   3.923e+00  
OBS:  56235.270  i NULL   7.395e+00   7.251e+00  
OBS:  56235.277  z NULL  -5.416e+00   6.983e+00  
OBS:  56236.258  g NULL  -1.485e+00   6.539e+00  
OBS:  56236.270  r NULL   1.542e+01   4.269e+00  
OBS:  56236.277  i NULL  -5.937e+00   5.999e+00  
OBS:  56236.285  z NULL   1.553e+01   7.811e+00  
OBS:  56237.289  g NULL  -1.192e+01   2.675e+01  
OBS:  56237.297  r NULL   2.686e+01   4.069e+01  
OBS:  56237.301  i NULL   1.518e+01   4.383e+01  
OBS:  56237.316  z NULL   4.296e+01   2.568e+01  
OBS:  56238.301  g NULL  -1.802e+01   4.135e+01  
OBS:  56238.316  r NULL   3.240e+01   1.371e+01  
OBS:  56238.328  i NULL   8.038e+00   7.938e+00  
OBS:  56243.027  z NULL   4.347e+00   7.823e+00  
OBS:  56243.309  g NULL  -5.529e-01   4.506e+00  
OBS:  56244.027  r NULL   2.157e+01   4.135e+00  
OBS:  56244.031  i NULL   1.305e+01   6.623e+00  
OBS:  56244.273  g NULL   9.130e+00   4.075e+00  
